Datum;Parzelle;Dach;Strom;Dachbauten;Drittelung;Unkraut;Details
15.06.2025;34;20;80477;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Sichtschutz, der nicht aus Pflanzen besteht, ist verboten. Bitte bis zum 27.07.2025 entfernen.']
15.06.2025;35;18;;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.', 'Der Hauptweg ist zu stark mit Unkraut bewachsen. Bitte bis zum 27.07.2025 entfernen.']
15.06.2025;28;38;10354;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;[]
15.06.2025;30;12;42808;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;[]
15.06.2025;29;24;56384;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Der Garten weist keine Drittelung auf (ein Drittel der Gartenfläche muss für den Anbau genutzt werden). Um einer Abmahnung vorzubeugen bitte bis zum 27.07.2025 die Anbaufläche auf ein Drittel vergrößern (z.B. durch die Umwandlung von Rasenfläche in Beete) und mit Fotos dem Vorstand (vorstand@taunus3.de) nachweisen.;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;[]
15.06.2025;36;35;;Die Laube/überdachte Fläche überschreitet die erlaubten 24 m². Das bedeutet: Keine neuen An- und Ausbauten, auch nicht Vordachanbringung bzw. Vergrößerung erlaubt! Bei Gartenrückgabe muss ggf. mit Rückbau auf das erlaubte Maß von 24 m² gerechnet werden. Bei Fragen kannst Du Dich an den Vorstand wenden.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.', 'Der Hauptweg ist zu stark mit Unkraut bewachsen. Bitte bis zum 27.07.2025 entfernen.']
15.06.2025;45;30;;Die Laube/überdachte Fläche überschreitet die erlaubten 24 m². Das bedeutet: Keine neuen An- und Ausbauten, auch nicht Vordachanbringung bzw. Vergrößerung erlaubt! Bei Gartenrückgabe muss ggf. mit Rückbau auf das erlaubte Maß von 24 m² gerechnet werden. Bei Fragen kannst Du Dich an den Vorstand wenden.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.']
15.06.2025;37;18;13076;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Der Garten weist keine Drittelung auf (ein Drittel der Gartenfläche muss für den Anbau genutzt werden). Um einer Abmahnung vorzubeugen bitte bis zum 27.07.2025 die Anbaufläche auf ein Drittel vergrößern (z.B. durch die Umwandlung von Rasenfläche in Beete) und mit Fotos dem Vorstand (vorstand@taunus3.de) nachweisen.;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;[]
15.06.2025;31;30;;Die Laube/überdachte Fläche überschreitet die erlaubten 24 m². Das bedeutet: Keine neuen An- und Ausbauten, auch nicht Vordachanbringung bzw. Vergrößerung erlaubt! Bei Gartenrückgabe muss ggf. mit Rückbau auf das erlaubte Maß von 24 m² gerechnet werden. Bei Fragen kannst Du Dich an den Vorstand wenden.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.']
15.06.2025;38;21;;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.', 'Kein Kompost vorhanden. Bitte bis zum 27.07.2025 einen Kompost anlegen.', 'Sichtschutz, der nicht aus Pflanzen besteht, ist verboten. Bitte bis zum 27.07.2025 entfernen.']
